time 1,Aluminum_1, time 2,Aluminum_2,time 3,Aluminum_3, time 4,Aluminum_4,time 5 ,Aluminum_5, time 6,Aluminum_6,time 7,Aluminum_7, time 8,Aluminum_8,time 9 ,Aluminum_9, time 10,Aluminum_10,time 11,Aluminum_11, time 12,Aluminum_12,time 13 ,Aluminum_13, time 14,Aluminum_14,time 15,Aluminum_15, time 16,Aluminum_16
0, 178182.7, 0, 241911.0, 0, 1148809.0, 0, 401448.5, 0, 419847.2, 0, 307742.4, 0, 193922.6, 0, 363140.7, 0, 276215.6, 0, 330016.6, 0, 265992.3, 0, 373129.2, 0, 275466.7, 0, 357391.7, 0, 409812.1, 0, 259744.3
2, 178033.7, 2, 241639.9, 2, 1148593.0, 2, 401154.0, 2, 419765.2, 2, 307627.4, 2, 193790.7, 2, 362888.1, 2, 276080.9, 2, 330002.0, 2, 265938.4, 2, 372964.8, 2, 275435.1, 2, 357154.1, 2, 409907.5, 2, 259704.5
4, 177905.1, 4, 241478.4, 4, 1148569.0, 4, 401014.9, 4, 419698.5, 4, 307605.0, 4, 193736.6, 4, 362723.5, 4, 275998.1, 4, 329945.2, 4, 265892.4, 4, 372889.5, 4, 275507.0, 4, 357003.6, 4, 410109.7, 4, 259615.3
6, 177840.7, 6, 241396.3, 6, 1148639.0, 6, 400969.7, 6, 419671.9, 6, 307632.0, 6, 193789.3, 6, 362713.4, 6, 275974.4, 6, 329911.5, 6, 265890.3, 6, 372849.2, 6, 275584.1, 6, 356963.2, 6, 410317.5, 6, 259581.3
8, 177841.8, 8, 241384.5, 8, 1148713.0, 8, 400925.4, 8, 419669.7, 8, 307659.4, 8, 193824.5, 8, 362724.1, 8, 275964.7, 8, 329870.9, 8, 265875.8, 8, 372822.0, 8, 275593.0, 8, 356951.1, 8, 410445.2, 8, 259609.9
10, 177833.1, 10, 241357.8, 10, 1148707.0, 10, 400946.0, 10, 419680.2, 10, 307714.7, 10, 193849.6, 10, 362745.0, 10, 275971.4, 10, 329752.2, 10, 265890.1, 10, 372845.4, 10, 275638.0, 10, 356993.7, 10, 410522.9, 10, 259622.3
12, 177811.0, 12, 241291.5, 12, 1148735.0, 12, 400888.9, 12, 419699.7, 12, 307669.5, 12, 193867.9, 12, 362708.2, 12, 275969.4, 12, 329778.7, 12, 265888.4, 12, 372994.4, 12, 275652.1, 12, 357010.7, 12, 410631.7, 12, 259573.8
14, 177757.8, 14, 241241.3, 14, 1148668.0, 14, 400858.5, 14, 419646.3, 14, 307678.6, 14, 193879.4, 14, 362677.7, 14, 275957.5, 14, 329771.2, 14, 265879.1, 14, 372911.7, 14, 275692.9, 14, 356967.3, 14, 410697.7, 14, 259551.5
16, 177773.1, 16, 241231.2, 16, 1148705.0, 16, 400861.5, 16, 419672.7, 16, 307686.9, 16, 193893.9, 16, 362653.5, 16, 275987.8, 16, 329746.2, 16, 265891.5, 16, 372844.3, 16, 275701.0, 16, 356981.9, 16, 410732.0, 16, 259566.5
18, 177792.9, 18, 241218.1, 18, 1148690.0, 18, 400858.2, 18, 419703.2, 18, 307721.9, 18, 193899.5, 18, 362637.9, 18, 275953.4, 18, 329731.2, 18, 265885.3, 18, 372877.2, 18, 275662.6, 18, 356981.8, 18, 410759.4, 18, 259536.6
20, 177723.8, 20, 241136.3, 20, 1148611.0, 20, 400822.9, 20, 419639.8, 20, 307726.0, 20, 193891.3, 20, 362625.0, 20, 275932.0, 20, 329735.0, 20, 265910.9, 20, 372903.5, 20, 275698.6, 20, 356957.1, 20, 410793.9, 20, 259528.5
22, 177760.9, 22, 241194.6, 22, 1148705.0, 22, 400807.4, 22, 419631.9, 22, 307735.2, 22, 193922.2, 22, 362648.4, 22, 275981.0, 22, 329705.7, 22, 265888.9, 22, 372963.1, 22, 275704.3, 22, 356977.2, 22, 410785.2, 22, 259519.5
24, 177724.6, 24, 241155.4, 24, 1148652.0, 24, 400833.1, 24, 419662.0, 24, 307707.4, 24, 193942.1, 24, 362593.5, 24, 275951.3, 24, 329693.0, 24, 265871.9, 24, 372969.5, 24, 275670.6, 24, 356979.2, 24, 410783.9, 24, 259547.2
26, 177716.5, 26, 241183.5, 26, 1148686.0, 26, 400815.2, 26, 419626.9, 26, 307741.7, 26, 193912.3, 26, 362605.0, 26, 275954.2, 26, 329698.2, 26, 265869.3, 26, 372955.2, 26, 275694.9, 26, 356987.1, 26, 410821.5, 26, 259528.5
28, 177688.0, 28, 241139.4, 28, 1148686.0, 28, 400778.7, 28, 419653.3, 28, 307776.3, 28, 193922.8, 28, 362602.7, 28, 275900.2, 28, 329682.3, 28, 265804.2, 28, 372951.5, 28, 275727.2, 28, 356938.2, 28, 410838.3, 28, 259527.5
30, 177665.9, 30, 241113.2, 30, 1148710.0, 30, 400852.3, 30, 419622.2, 30, 307757.6, 30, 193912.0, 30, 362582.3, 30, 275922.7, 30, 329700.8, 30, 265840.6, 30, 372896.4, 30, 275747.4, 30, 356929.9, 30, 410907.5, 30, 259510.4
32, 177669.1, 32, 241083.7, 32, 1148701.0, 32, 400838.8, 32, 419632.3, 32, 307741.0, 32, 193904.8, 32, 362591.9, 32, 275899.8, 32, 329672.2, 32, 265851.5, 32, 372914.7, 32, 275733.6, 32, 356958.4, 32, 410877.2, 32, 259513.4
34, 177719.9, 34, 241141.8, 34, 1148723.0, 34, 400863.9, 34, 419681.5, 34, 307761.1, 34, 193913.6, 34, 362631.4, 34, 275980.1, 34, 329816.5, 34, 265861.4, 34, 373030.8, 34, 275788.8, 34, 356973.1, 34, 410895.9, 34, 259533.5
36, 177711.3, 36, 241202.0, 36, 1148753.0, 36, 400857.1, 36, 419654.2, 36, 307829.5, 36, 193914.8, 36, 362625.2, 36, 275943.4, 36, 329894.7, 36, 265836.8, 36, 373001.2, 36, 275770.0, 36, 356957.9, 36, 410961.8, 36, 259524.7
