time 1,PET_0.03mm1, time 2,PGA-commercial-1,time 3,Asics-goretex_1, time 4,Asics-goretex_2,time 5 ,Asics-goretex_3, time 6,Nothing,time 7,northface-dryvent_1, time 8,northface-dryvent_2,time 9 ,northface-dryvent_3, time 10,H-M_1,time 11,H-M_2, time 12,H-M_3,time 13 ,Natural-Gear_1, time 14,Natural-Gear_2,time 15,Natural-Gear_3, time 16,PGA-commercial_2
2, 176429.5, 2, 241903.1, 2, 1147686.0, 2, 400671.9, 2, 419977.7, 2, 0.0, 2, 193446.5, 2, 362929.5, 2, 275784.9, 2, 330725.5, 2, 264804.9, 2, 350836.4, 2, 276245.3, 2, 356234.3, 2, 410718.9, 2, 260482.9
4, 176375.0, 4, 241836.7, 4, 1147688.0, 4, 400620.6, 4, 419924.4, 4, 0.0, 4, 193433.8, 4, 362886.9, 4, 275778.1, 4, 330644.8, 4, 264860.5, 4, 350806.9, 4, 276176.2, 4, 356237.9, 4, 410550.0, 4, 260455.2
6, 176360.0, 6, 241839.2, 6, 1147683.0, 6, 400546.3, 6, 419919.5, 6, 0.0, 6, 193451.0, 6, 362831.4, 6, 275809.9, 6, 330601.7, 6, 264952.0, 6, 350797.5, 6, 276121.3, 6, 356261.5, 6, 410452.4, 6, 260457.6
8, 176309.1, 8, 241786.8, 8, 1147633.0, 8, 400507.2, 8, 419912.2, 8, 0.0, 8, 193433.1, 8, 362806.3, 8, 275814.1, 8, 330558.0, 8, 265018.0, 8, 350803.4, 8, 276063.8, 8, 356279.4, 8, 410370.1, 8, 260445.5
10, 176272.8, 10, 241756.5, 10, 1147620.0, 10, 400492.7, 10, 419901.2, 10, 0.0, 10, 193424.3, 10, 362744.0, 10, 275807.8, 10, 330500.1, 10, 265002.5, 10, 350781.6, 10, 276057.2, 10, 356281.1, 10, 410329.6, 10, 260430.7
12, 176234.4, 12, 241723.4, 12, 1147624.0, 12, 400477.6, 12, 419900.3, 12, 0.0, 12, 193427.0, 12, 362716.0, 12, 275830.3, 12, 330495.0, 12, 265078.8, 12, 350802.2, 12, 276017.9, 12, 356316.9, 12, 410273.2, 12, 260462.1
14, 176220.9, 14, 241713.6, 14, 1147589.0, 14, 400468.4, 14, 419865.8, 14, 0.0, 14, 193421.8, 14, 362701.0, 14, 275831.0, 14, 330478.4, 14, 265104.0, 14, 350803.6, 14, 275977.3, 14, 356322.5, 14, 410234.5, 14, 260458.7
16, 176196.7, 16, 241680.0, 16, 1147559.0, 16, 400451.6, 16, 419852.4, 16, 0.0, 16, 193421.9, 16, 362662.9, 16, 275821.6, 16, 330428.3, 16, 265126.8, 16, 350804.5, 16, 275974.4, 16, 356308.6, 16, 410237.0, 16, 260452.2
18, 176215.4, 18, 241682.9, 18, 1147568.0, 18, 400442.2, 18, 419847.7, 18, 0.0, 18, 193412.2, 18, 362658.3, 18, 275826.8, 18, 330456.5, 18, 265174.4, 18, 350796.3, 18, 275958.1, 18, 356315.4, 18, 410189.6, 18, 260484.6
20, 176154.1, 20, 241656.0, 20, 1147523.0, 20, 400440.5, 20, 419838.5, 20, 0.0, 20, 193449.9, 20, 362644.8, 20, 275824.6, 20, 330444.6, 20, 265185.6, 20, 350795.6, 20, 275945.6, 20, 356328.2, 20, 410179.1, 20, 260462.8
22, 176198.7, 22, 241678.4, 22, 1147536.0, 22, 400449.9, 22, 419826.5, 22, 0.0, 22, 193431.6, 22, 362627.0, 22, 275811.9, 22, 330460.5, 22, 265223.9, 22, 350834.2, 22, 275958.1, 22, 356331.8, 22, 410207.2, 22, 260498.8
24, 176183.5, 24, 241680.5, 24, 1147500.0, 24, 400490.7, 24, 419849.7, 24, 0.0, 24, 193414.8, 24, 362644.8, 24, 275784.5, 24, 330476.4, 24, 265201.3, 24, 350822.3, 24, 275951.3, 24, 356298.7, 24, 410262.7, 24, 260517.7
26, 176176.3, 26, 241686.9, 26, 1147512.0, 26, 400499.9, 26, 419833.6, 26, 0.0, 26, 193412.9, 26, 362615.9, 26, 275753.2, 26, 330510.6, 26, 265153.3, 26, 350834.2, 26, 275956.3, 26, 356282.0, 26, 410301.8, 26, 260519.1
28, 176183.3, 28, 241700.2, 28, 1147538.0, 28, 400499.0, 28, 419818.0, 28, 0.0, 28, 193399.9, 28, 362622.5, 28, 275753.4, 28, 330504.3, 28, 265149.5, 28, 350839.7, 28, 275977.9, 28, 356258.3, 28, 410306.9, 28, 260486.6
30, 173285.4, 30, 241699.8, 30, 1147558.0, 30, 400467.5, 30, 419784.7, 30, 0.0, 30, 193403.1, 30, 362640.1, 30, 275764.4, 30, 330484.9, 30, 265176.9, 30, 350844.1, 30, 275936.0, 30, 356299.8, 30, 410276.0, 30, 260498.6
32, 176173.6, 32, 241685.8, 32, 1147526.0, 32, 400464.5, 32, 419810.4, 32, 0.0, 32, 193425.2, 32, 362649.2, 32, 275785.8, 32, 330452.5, 32, 265204.7, 32, 350818.1, 32, 275946.2, 32, 356292.4, 32, 410208.8, 32, 260475.4
34, 176161.7, 34, 241670.9, 34, 1147503.0, 34, 400420.9, 34, 419783.8, 34, 0.0, 34, 193410.4, 34, 362607.0, 34, 275786.6, 34, 330409.2, 34, 265214.8, 34, 350815.8, 34, 275927.6, 34, 356282.3, 34, 410210.3, 34, 260478.2
36, 176172.7, 36, 241660.5, 36, 1147499.0, 36, 400399.3, 36, 419784.5, 36, 0.0, 36, 193453.2, 36, 362598.6, 36, 275782.8, 36, 330412.2, 36, 265250.6, 36, 350821.0, 36, 275899.8, 36, 356298.4, 36, 410160.6, 36, 260485.2
38, 176139.3, 38, 241645.5, 38, 1147449.0, 38, 400385.3, 38, 419764.9, 38, 0.0, 38, 193420.5, 38, 362573.7, 38, 275771.5, 38, 330393.5, 38, 265236.4, 38, 350826.1, 38, 275888.0, 38, 356298.5, 38, 410180.1, 38, 260469.3
40, 176125.8, 40, 241639.3, 40, 1147455.0, 40, 400379.0, 40, 419754.7, 40, 0.0, 40, 193438.8, 40, 362553.3, 40, 275761.1, 40, 330371.3, 40, 265267.6, 40, 350807.0, 40, 275870.0, 40, 356282.7, 40, 410154.3, 40, 260486.0
42, 176133.1, 42, 241625.9, 42, 1147471.0, 42, 400372.1, 42, 419755.8, 42, 0.0, 42, 193467.4, 42, 362568.5, 42, 275781.9, 42, 330366.3, 42, 265283.6, 42, 350811.9, 42, 275887.6, 42, 356302.6, 42, 410132.6, 42, 260475.7
44, 176114.7, 44, 241602.7, 44, 1147463.0, 44, 400373.6, 44, 419749.3, 44, 0.0, 44, 193440.9, 44, 362551.3, 44, 275752.5, 44, 330370.1, 44, 265285.9, 44, 350808.1, 44, 275858.6, 44, 356287.8, 44, 410111.0, 44, 260478.4
46, 176119.1, 46, 241610.7, 46, 1147465.0, 46, 400371.5, 46, 419738.5, 46, 0.0, 46, 193442.6, 46, 362549.9, 46, 275775.7, 46, 330384.8, 46, 265295.5, 46, 350817.1, 46, 275852.8, 46, 356302.4, 46, 410145.9, 46, 260488.3
48, 176107.6, 48, 241582.1, 48, 1147419.0, 48, 400362.1, 48, 419717.2, 48, 0.0, 48, 193446.5, 48, 362530.7, 48, 275779.2, 48, 330355.5, 48, 265293.3, 48, 350801.6, 48, 275849.8, 48, 356312.2, 48, 410134.4, 48, 260467.3
50, 176078.3, 50, 241569.6, 50, 1147433.0, 50, 400356.0, 50, 419704.7, 50, 0.0, 50, 193462.3, 50, 362514.4, 50, 275770.7, 50, 330350.5, 50, 265317.5, 50, 350818.4, 50, 275832.2, 50, 356291.5, 50, 410137.5, 50, 260486.2
52, 176119.7, 52, 241586.8, 52, 1147401.0, 52, 400366.0, 52, 419698.3, 52, 0.0, 52, 193478.3, 52, 362518.5, 52, 275781.2, 52, 330347.0, 52, 265327.9, 52, 350802.0, 52, 275854.1, 52, 356282.3, 52, 410102.8, 52, 260488.8
54, 176104.8, 54, 241587.5, 54, 1147380.0, 54, 400353.4, 54, 419692.2, 54, 0.03333333, 54, 193463.1, 54, 362513.7, 54, 275750.6, 54, 330330.5, 54, 265306.3, 54, 350810.0, 54, 275814.8, 54, 356291.7, 54, 410122.0, 54, 260484.0
56, 176098.2, 56, 241583.9, 56, 1147411.0, 56, 400342.8, 56, 419709.3, 56, 0.0, 56, 193485.3, 56, 362512.8, 56, 275780.9, 56, 330344.8, 56, 265331.6, 56, 350817.8, 56, 275833.9, 56, 356277.8, 56, 410130.6, 56, 260487.9
58, 176132.3, 58, 241590.6, 58, 1147392.0, 58, 400341.0, 58, 419698.5, 58, 0.0, 58, 193473.2, 58, 362529.8, 58, 275759.0, 58, 330361.0, 58, 265343.5, 58, 350819.6, 58, 275872.7, 58, 356287.8, 58, 410137.9, 58, 260481.9
60, 176089.6, 60, 241582.0, 60, 1147368.0, 60, 400373.9, 60, 419699.3, 60, 0.0, 60, 193462.0, 60, 362521.5, 60, 275742.0, 60, 330383.8, 60, 265312.2, 60, 350797.3, 60, 275843.8, 60, 356267.0, 60, 410201.0, 60, 260502.7
62, 176089.5, 62, 241595.7, 62, 1147405.0, 62, 400370.9, 62, 419681.6, 62, 0.0, 62, 193450.1, 62, 362518.8, 62, 275748.4, 62, 330390.0, 62, 265285.9, 62, 350809.1, 62, 275854.6, 62, 356265.1, 62, 410222.6, 62, 260489.2
64, 176111.4, 64, 241611.7, 64, 1147412.0, 64, 400378.5, 64, 419662.5, 64, 0.0, 64, 193485.4, 64, 362527.3, 64, 275789.8, 64, 330371.1, 64, 265305.4, 64, 350832.3, 64, 275848.4, 64, 356259.6, 64, 410184.0, 64, 260505.6
66, 176133.4, 66, 241612.3, 66, 1147374.0, 66, 400335.3, 66, 419671.0, 66, 0.0, 66, 193489.9, 66, 362543.8, 66, 275761.6, 66, 330343.8, 66, 265314.3, 66, 350796.3, 66, 275833.6, 66, 356258.3, 66, 410170.9, 66, 260499.2
68, 176096.4, 68, 241584.7, 68, 1147368.0, 68, 400325.9, 68, 419670.9, 68, 0.0, 68, 193490.6, 68, 362504.6, 68, 275761.4, 68, 330341.7, 68, 265298.0, 68, 350817.3, 68, 275815.1, 68, 356263.6, 68, 410155.0, 68, 260482.3
