time 1,PET_0.03mm_1, time 2,PUL-1,time 3,PUL-2, time 4,PUL-3,time 5 ,Marino-wool_1, time 6,Marino-wool_2,time 7,Marino-wool_3, time 8,Nylon_1,time 9 ,Nylon_2, time 10,Nylon_3,time 11,Polyester_1, time 12,Polyester_2,time 13 ,Polyester_3, time 14,Silk_1,time 15,Silk_2, time 16,Silk_3
2, 177148.3, 2, 218990.3, 2, 326796.9, 2, -387856.2, 2, 436039.4, 2, 514537.1, 2, 408526.2, 2, 385312.4, 2, 222133.2, 2, 314488.9, 2, 260527.7, 2, 408047.4, 2, 222877.6, 2, 134704.7, 2, 332038.6, 2, 244071.3
4, 177165.8, 4, 218909.4, 4, 326746.5, 4, -387777.6, 4, 436072.4, 4, 514569.1, 4, 408462.3, 4, 385306.4, 4, 222174.2, 4, 314548.4, 4, 260513.2, 4, 408042.0, 4, 222867.5, 4, 134709.0, 4, 332033.5, 4, 244085.3
6, 177173.3, 6, 218831.4, 6, 326694.1, 6, -387690.7, 6, 436116.9, 6, 514614.9, 6, 408446.3, 6, 385283.5, 6, 222222.9, 6, 314610.0, 6, 260507.7, 6, 407991.2, 6, 222849.2, 6, 134726.8, 6, 332051.1, 6, 244072.2
8, 177192.4, 8, 218787.0, 8, 326603.1, 8, -387561.6, 8, 436136.5, 8, 514658.3, 8, 408429.5, 8, 385257.3, 8, 222244.3, 8, 314646.4, 8, 260519.3, 8, 407977.4, 8, 222797.8, 8, 134726.4, 8, 332036.7, 8, 244096.2
10, 177202.1, 10, 218729.3, 10, 326552.8, 10, -387514.3, 10, 436136.8, 10, 514681.6, 10, 408431.2, 10, 385196.1, 10, 222295.5, 10, 314674.9, 10, 260519.8, 10, 407996.2, 10, 222774.3, 10, 134723.4, 10, 332024.7, 10, 244087.4
12, 177232.4, 12, 218678.9, 12, 326527.0, 12, -387465.2, 12, 436171.7, 12, 514679.3, 12, 408423.1, 12, 385187.6, 12, 222350.2, 12, 314709.6, 12, 260537.0, 12, 407987.9, 12, 222770.5, 12, 134740.6, 12, 332034.5, 12, 244104.6
14, 177247.1, 14, 218679.1, 14, 326485.3, 14, -387422.7, 14, 436150.7, 14, 514689.0, 14, 408403.5, 14, 385156.6, 14, 222401.8, 14, 314753.5, 14, 260539.7, 14, 407980.1, 14, 222718.8, 14, 134776.0, 14, 332021.5, 14, 244097.2
16, 177239.2, 16, 218653.1, 16, 326444.9, 16, -387373.8, 16, 436162.1, 16, 514679.4, 16, 408407.7, 16, 385154.5, 16, 222422.2, 16, 314746.4, 16, 260535.3, 16, 407978.8, 16, 222728.3, 16, 134796.9, 16, 332030.3, 16, 244094.2
18, 177258.7, 18, 218612.2, 18, 326435.1, 18, -387342.6, 18, 436186.3, 18, 514671.0, 18, 408380.2, 18, 385122.9, 18, 222446.6, 18, 314792.8, 18, 260541.3, 18, 407940.0, 18, 222709.9, 18, 134786.9, 18, 332006.7, 18, 244100.8
20, 177280.8, 20, 218612.6, 20, 326401.9, 20, -387310.2, 20, 436194.5, 20, 514670.0, 20, 408381.6, 20, 385145.4, 20, 222478.3, 20, 314773.5, 20, 260530.9, 20, 407965.1, 20, 222701.0, 20, 134804.0, 20, 332013.7, 20, 244112.4
22, 177297.1, 22, 218653.8, 22, 326410.7, 22, -387304.0, 22, 436176.5, 22, 514667.0, 22, 408359.3, 22, 385151.7, 22, 222506.5, 22, 314771.8, 22, 260524.7, 22, 407952.0, 22, 222686.8, 22, 134817.1, 22, 332038.8, 22, 244080.0
24, 177269.6, 24, 218659.2, 24, 326427.7, 24, -387303.2, 24, 436154.8, 24, 514612.6, 24, 408354.9, 24, 385120.5, 24, 222491.6, 24, 314755.0, 24, 260534.0, 24, 407956.5, 24, 222667.4, 24, 134792.8, 24, 332011.4, 24, 244099.5
26, 177258.0, 26, 218684.8, 26, 326437.0, 26, -387369.0, 26, 436115.6, 26, 514590.5, 26, 408356.5, 26, 385143.4, 26, 222469.2, 26, 314714.1, 26, 260516.1, 26, 407952.7, 26, 222644.9, 26, 134785.5, 26, 331988.6, 26, 244090.7
28, 177255.3, 28, 218676.3, 28, 326450.4, 28, -387344.2, 28, 436110.6, 28, 514584.2, 28, 408368.7, 28, 385119.8, 28, 222460.2, 28, 314701.4, 28, 260498.6, 28, 407948.7, 28, 222639.2, 28, 134789.2, 28, 331979.9, 28, 244084.7
30, 177280.5, 30, 218690.1, 30, 326441.9, 30, -387342.3, 30, 436145.4, 30, 514594.1, 30, 408335.8, 30, 385126.7, 30, 222476.5, 30, 314720.7, 30, 260508.7, 30, 407964.3, 30, 222654.4, 30, 134778.9, 30, 332008.0, 30, 244080.0
32, 177281.2, 32, 218657.5, 32, 326432.3, 32, -387312.3, 32, 436141.1, 32, 514621.1, 32, 408336.1, 32, 385101.1, 32, 222485.0, 32, 314737.6, 32, 260511.4, 32, 407953.9, 32, 222622.8, 32, 134808.9, 32, 332000.6, 32, 244082.1
34, 177291.0, 34, 218622.6, 34, 326407.9, 34, -387312.1, 34, 436149.7, 34, 514622.2, 34, 408318.1, 34, 385103.9, 34, 222482.7, 34, 314728.7, 34, 260504.1, 34, 407929.3, 34, 222634.3, 34, 134803.5, 34, 331997.6, 34, 244086.3
36, 177314.0, 36, 218606.5, 36, 326387.8, 36, -387245.2, 36, 436145.2, 36, 514624.9, 36, 408311.2, 36, 385085.8, 36, 222522.3, 36, 314765.5, 36, 260483.8, 36, 407925.5, 36, 222615.6, 36, 134820.3, 36, 331983.8, 36, 244063.1
38, 177306.7, 38, 218595.8, 38, 326363.2, 38, -387211.3, 38, 436133.9, 38, 514619.2, 38, 408310.0, 38, 385060.3, 38, 222520.2, 38, 314770.1, 38, 260479.0, 38, 407918.9, 38, 222611.3, 38, 134806.3, 38, 331972.6, 38, 244077.1
40, 177304.4, 40, 218589.4, 40, 326382.3, 40, -387238.6, 40, 436145.5, 40, 514612.0, 40, 408269.9, 40, 385078.1, 40, 222536.4, 40, 314781.2, 40, 260487.3, 40, 407937.5, 40, 222609.1, 40, 134829.3, 40, 331976.7, 40, 244074.5
42, 177340.9, 42, 218595.4, 42, 326357.6, 42, -387169.1, 42, 436136.7, 42, 514612.8, 42, 408281.1, 42, 385052.9, 42, 222559.1, 42, 314781.1, 42, 260489.1, 42, 407920.6, 42, 222584.6, 42, 134809.0, 42, 331939.7, 42, 244072.5
44, 177332.6, 44, 218591.5, 44, 326354.2, 44, -387197.5, 44, 436168.0, 44, 514598.7, 44, 408258.3, 44, 385041.9, 44, 222554.5, 44, 314779.5, 44, 260451.7, 44, 407907.7, 44, 222566.1, 44, 134824.0, 44, 331958.6, 44, 244067.0
