time_1,Nylon,time_2,Nylon,time_3,Nylon,time_4,Nylon,time_5,Cellulose,time_6,Cellulose,time_7,Cellulose,time_8,Cellulose,time_9,Polyimide,time_10,Polyimide,time_11,Polyimide,time_12,Polyimide,time_13,PET,time_14,PET,time_15,PET,time_16,PET
0, 168863.0, 0, 232544.7, 0, 1144308.0, 0, 392135.0, 0, 415948.6, 0, 296056.0, 0, 188878.7, 0, 357989.1, 0, 274071.2, 0, 328088.5, 0, 262669.5, 0, 371120.5, 0, 275592.4, 0, 362750.3, 0, 409450.8, 0, 258204.6
2, 168756.4, 2, 232447.0, 2, 1144217.0, 2, 392103.0, 2, 415932.8, 2, 296033.5, 2, 188959.6, 2, 357935.7, 2, 274096.6, 2, 327941.6, 2, 262691.8, 2, 371051.5, 2, 275547.4, 2, 362769.9, 2, 409353.9, 2, 258151.0
4, 168677.5, 4, 232390.1, 4, 1144231.0, 4, 392120.0, 4, 415893.2, 4, 296064.1, 4, 188957.1, 4, 357863.4, 4, 274125.7, 4, 327986.8, 4, 262776.1, 4, 371119.6, 4, 275546.9, 4, 362774.8, 4, 409403.8, 4, 258094.6
6, 168710.0, 6, 232417.6, 6, 1144226.0, 6, 392055.8, 6, 415885.4, 6, 296112.3, 6, 188970.0, 6, 357908.3, 6, 274114.8, 6, 327969.1, 6, 262849.9, 6, 371129.6, 6, 275511.5, 6, 362758.4, 6, 409433.1, 6, 258116.4
8, 168618.9, 8, 232336.6, 8, 1144133.0, 8, 392080.3, 8, 415873.5, 8, 296164.1, 8, 188953.1, 8, 357840.5, 8, 274140.4, 8, 327971.1, 8, 262814.2, 8, 371066.5, 8, 275516.7, 8, 362749.4, 8, 409403.7, 8, 258144.3
10, 168657.2, 10, 232335.6, 10, 1144145.0, 10, 392159.9, 10, 415856.4, 10, 296128.7, 10, 188901.3, 10, 357838.5, 10, 274075.2, 10, 327917.4, 10, 262854.0, 10, 371071.0, 10, 275482.9, 10, 362737.3, 10, 409372.2, 10, 258152.4
12, 168612.8, 12, 232379.7, 12, 1144219.0, 12, 392085.7, 12, 415873.7, 12, 296147.9, 12, 188920.3, 12, 357824.5, 12, 274086.5, 12, 327941.8, 12, 262867.0, 12, 371039.0, 12, 275529.3, 12, 362752.0, 12, 409347.0, 12, 258151.3
14, 168561.6, 14, 232353.9, 14, 1144220.0, 14, 392123.4, 14, 415886.2, 14, 296154.0, 14, 188934.7, 14, 357849.4, 14, 274041.1, 14, 327872.7, 14, 262873.1, 14, 371146.8, 14, 275466.7, 14, 362783.7, 14, 409402.9, 14, 258142.6
16, 168549.4, 16, 232253.1, 16, 1144156.0, 16, 392063.1, 16, 415902.3, 16, 296192.4, 16, 188882.5, 16, 357799.8, 16, 274104.5, 16, 327895.9, 16, 262937.0, 16, 371091.8, 16, 275514.9, 16, 362799.1, 16, 409344.5, 16, 258169.8
18, 168590.0, 18, 232321.8, 18, 1144160.0, 18, 392132.3, 18, 415883.7, 18, 296230.6, 18, 188946.1, 18, 357829.5, 18, 274042.4, 18, 327904.7, 18, 262901.7, 18, 371077.0, 18, 275448.1, 18, 362793.6, 18, 409405.3, 18, 258182.3
20, 168548.9, 20, 232300.0, 20, 1144210.0, 20, 392067.3, 20, 415851.4, 20, 296161.6, 20, 188926.4, 20, 357803.5, 20, 274057.6, 20, 327906.1, 20, 262930.3, 20, 371101.2, 20, 275463.2, 20, 362801.8, 20, 409394.7, 20, 258190.1
22, 168629.3, 22, 232264.1, 22, 1144160.0, 22, 392108.2, 22, 415881.9, 22, 296190.5, 22, 189007.4, 22, 357762.4, 22, 274101.3, 22, 327913.5, 22, 262922.4, 22, 371086.2, 22, 275450.9, 22, 362868.5, 22, 409374.4, 22, 258168.4
24, 168564.5, 24, 232328.4, 24, 1144178.0, 24, 392070.6, 24, 415828.3, 24, 296231.8, 24, 188994.7, 24, 357759.1, 24, 274062.5, 24, 327880.6, 24, 262945.9, 24, 371093.1, 24, 275510.3, 24, 362841.8, 24, 409374.0, 24, 258166.0
