time_1,Nylon_1,time_2,Nylon_2,time_3,Nylon_3,time_4,Nylon_4,time_5,Cellulose_1,time_6,Cellulose_2,time_7,Cellulose_3,time_8,Cellulose_4,time_9,Polyimide_1,time_10,Polyimide_2,time_11,Polyimide_3,time_12,Polyimide_4,time_13,PET_1,time_14,PET_2,time_15,PET_3,time_16,PET_4
0, 168417.8, 0, 232592.2, 0, 1144337.0, 0, 391959.2, 0, 415763.0, 0, 296424.0, 0, 189066.6, 0, 357957.7, 0, 274036.3, 0, 328183.9, 0, 262726.0, 0, 371181.2, 0, 275558.5, 0, 362991.3, 0, 409856.9, 0, 258202.9
2, 168463.1, 2, 232637.8, 2, 1144324.0, 2, 392062.5, 2, 415764.7, 2, 296405.4, 2, 189079.6, 2, 358015.3, 2, 273888.7, 2, 328249.1, 2, 262615.3, 2, 371310.4, 2, 275631.2, 2, 362861.2, 2, 409999.2, 2, 258266.5
4, 168465.0, 4, 232737.5, 4, 1144315.0, 4, 392082.0, 4, 415733.4, 4, 296369.8, 4, 189027.0, 4, 358006.4, 4, 273933.9, 4, 328301.0, 4, 262583.3, 4, 371204.5, 4, 275672.3, 4, 362722.7, 4, 410041.5, 4, 258243.6
6, 168462.6, 6, 232756.1, 6, 1144381.0, 6, 392084.0, 6, 415805.0, 6, 296373.6, 6, 189067.0, 6, 358063.1, 6, 273860.6, 6, 328243.4, 6, 262409.4, 6, 371204.1, 6, 275630.6, 6, 362715.0, 6, 409994.9, 6, 258217.2
8, 168445.5, 8, 232766.5, 8, 1144343.0, 8, 391997.8, 8, 415732.9, 8, 296269.9, 8, 189021.5, 8, 358110.9, 8, 273904.5, 8, 328223.1, 8, 262458.1, 8, 371197.1, 8, 275622.4, 8, 362704.8, 8, 409854.8, 8, 258187.9
10, 168525.5, 10, 232759.6, 10, 1144333.0, 10, 391928.9, 10, 415751.9, 10, 296270.4, 10, 189044.1, 10, 358057.3, 10, 273999.6, 10, 328048.6, 10, 262536.1, 10, 371188.6, 10, 275613.8, 10, 362721.2, 10, 409778.0, 10, 258151.9
12, 168450.5, 12, 232682.7, 12, 1144352.0, 12, 391882.4, 12, 415760.5, 12, 296232.7, 12, 189058.4, 12, 357998.0, 12, 273963.6, 12, 328120.9, 12, 262617.4, 12, 371169.9, 12, 275548.4, 12, 362776.8, 12, 409657.5, 12, 258160.8
14, 168515.9, 14, 232701.4, 14, 1144323.0, 14, 391903.3, 14, 415753.2, 14, 296155.7, 14, 189038.0, 14, 358000.6, 14, 273988.4, 14, 328129.6, 14, 262637.2, 14, 371242.0, 14, 275591.8, 14, 362849.7, 14, 409638.1, 14, 258128.3
20, 168441.3, 20, 232681.0, 20, 1144235.0, 20, 391908.4, 20, 415768.6, 20, 296213.8, 20, 189002.0, 20, 358018.1, 20, 273997.5, 20, 328045.5, 20, 262551.9, 20, 371172.4, 20, 275540.2, 20, 362817.6, 20, 409565.0, 20, 258117.5
22, 168421.4, 22, 232596.1, 22, 1144272.0, 22, 391806.3, 22, 415695.0, 22, 296245.2, 22, 189010.1, 22, 357942.7, 22, 273944.9, 22, 328018.4, 22, 262638.4, 22, 371168.4, 22, 275501.5, 22, 362802.7, 22, 409513.3, 22, 258095.0
24, 168353.2, 24, 232579.1, 24, 1144280.0, 24, 391784.5, 24, 415716.6, 24, 296251.7, 24, 189061.3, 24, 357911.6, 24, 274007.0, 24, 327952.4, 24, 262657.9, 24, 371186.5, 24, 275494.8, 24, 362838.7, 24, 409515.5, 24, 258087.6
26, 168371.5, 26, 232546.8, 26, 1144308.0, 26, 391744.2, 26, 415777.9, 26, 296277.0, 26, 189037.4, 26, 357923.4, 26, 274002.0, 26, 327996.3, 26, 262773.6, 26, 371095.8, 26, 275464.2, 26, 362846.2, 26, 409472.2, 26, 258149.7
