time_1,Nylon,time_2,Nylon,time_3,Nylon,time_4,Nylon,time_5,Cellulose,time_6,Cellulose,time_7,Cellulose,time_8,Cellulose,time_9,Polyimide,time_10,Polyimide,time_11,Polyimide,time_12,Polyimide,time_13,PET,time_14,PET,time_15,PET,time_16,PET
0, 178483.1, 0, 242547.4, 0, 1151866.0, 0, 401787.1, 0, 426299.8, 0, 307317.5, 0, 199538.9, 0, 368602.0, 0, 277076.7, 0, 330869.2, 0, 266277.5, 0, 373608.8, 0, 276503.4, 0, 357438.8, 0, 411133.9, 0, 266417.0
2, 178533.6, 2, 242537.8, 2, 1151849.0, 2, 401771.3, 2, 426329.8, 2, 307339.8, 2, 199559.6, 2, 368588.2, 2, 277039.9, 2, 330872.0, 2, 266306.1, 2, 373650.1, 2, 276409.2, 2, 357449.5, 2, 411123.0, 2, 266466.4
4, 178490.8, 4, 242489.9, 4, 1151802.0, 4, 401759.9, 4, 426345.1, 4, 307346.1, 4, 199551.6, 4, 368594.6, 4, 277035.8, 4, 330886.9, 4, 266314.1, 4, 373601.7, 4, 276480.1, 4, 357389.6, 4, 411193.0, 4, 266467.0
6, 178478.1, 6, 242506.3, 6, 1151767.0, 6, 401728.9, 6, 426288.3, 6, 307281.1, 6, 199613.8, 6, 368539.0, 6, 277048.9, 6, 330833.1, 6, 266344.1, 6, 373673.1, 6, 276480.5, 6, 357421.6, 6, 411097.0, 6, 266447.5
8, 178397.9, 8, 242499.5, 8, 1151772.0, 8, 401755.5, 8, 426276.0, 8, 307325.2, 8, 199584.5, 8, 368554.8, 8, 277016.5, 8, 330842.8, 8, 266371.9, 8, 373629.4, 8, 276451.0, 8, 357409.8, 8, 411084.7, 8, 266447.6
10, 178418.0, 10, 242477.4, 10, 1151752.0, 10, 401810.8, 10, 426278.8, 10, 307288.6, 10, 199553.2, 10, 368586.9, 10, 277015.7, 10, 330790.8, 10, 266362.9, 10, 373609.6, 10, 276441.0, 10, 357416.4, 10, 411093.4, 10, 266504.2
12, 178416.9, 12, 242463.1, 12, 1151769.0, 12, 401839.5, 12, 426276.4, 12, 307346.0, 12, 199596.5, 12, 368599.4, 12, 277031.7, 12, 330857.8, 12, 266331.1, 12, 373674.8, 12, 276474.0, 12, 357443.2, 12, 411065.4, 12, 266429.7
14, 178432.1, 14, 242482.7, 14, 1151729.0, 14, 401767.9, 14, 426280.6, 14, 307290.4, 14, 199565.2, 14, 368550.0, 14, 276987.9, 14, 330819.5, 14, 266393.7, 14, 373670.3, 14, 276449.0, 14, 357432.1, 14, 411090.6, 14, 266458.8
16, 178474.4, 16, 242468.5, 16, 1151692.0, 16, 401753.7, 16, 426274.0, 16, 307333.0, 16, 199547.0, 16, 368526.6, 16, 277052.3, 16, 330807.0, 16, 266424.8, 16, 373652.5, 16, 276441.9, 16, 357387.1, 16, 411128.1, 16, 266430.6
18, 178491.9, 18, 242403.3, 18, 1151821.0, 18, 401697.2, 18, 426308.5, 18, 307341.1, 18, 199589.6, 18, 368546.9, 18, 277047.1, 18, 330844.0, 18, 266406.5, 18, 373683.0, 18, 276451.3, 18, 357378.6, 18, 411086.0, 18, 266439.1
20, 178418.8, 20, 242492.4, 20, 1151752.0, 20, 401723.9, 20, 426302.6, 20, 307343.2, 20, 199522.4, 20, 368492.5, 20, 277003.6, 20, 330827.1, 20, 266525.1, 20, 373649.5, 20, 276488.9, 20, 357433.2, 20, 411123.1, 20, 266485.9
22, 178455.2, 22, 242422.4, 22, 1151725.0, 22, 401689.3, 22, 426252.9, 22, 307304.0, 22, 199560.2, 22, 368541.3, 22, 277053.7, 22, 330825.9, 22, 266371.7, 22, 373683.9, 22, 276470.9, 22, 357392.2, 22, 411154.1, 22, 266540.4
24, 178435.4, 24, 242411.3, 24, 1151773.0, 24, 401741.5, 24, 426207.9, 24, 307399.2, 24, 199575.2, 24, 368514.8, 24, 276979.4, 24, 330828.2, 24, 266368.1, 24, 373629.8, 24, 276417.5, 24, 357377.5, 24, 411161.7, 24, 266457.4
26, 178396.2, 26, 242423.6, 26, 1151763.0, 26, 401818.5, 26, 426269.8, 26, 307365.4, 26, 199592.2, 26, 368618.1, 26, 276982.6, 26, 330844.9, 26, 266467.0, 26, 373646.5, 26, 276518.0, 26, 357384.9, 26, 411209.1, 26, 266510.9
28, 178372.5, 28, 242475.0, 28, 1151774.0, 28, 401716.5, 28, 426240.3, 28, 307337.1, 28, 199597.1, 28, 368580.7, 28, 277101.5, 28, 330829.0, 28, 266370.8, 28, 373663.6, 28, 276428.3, 28, 357411.8, 28, 411144.4, 28, 266483.9
30, 178418.7, 30, 242408.3, 30, 1151702.0, 30, 401724.8, 30, 426228.8, 30, 307334.4, 30, 199567.8, 30, 368462.8, 30, 276964.4, 30, 330817.6, 30, 266471.5, 30, 373649.0, 30, 276483.8, 30, 357427.4, 30, 411085.7, 30, 266426.1
