time 1,PLA_1, time 2,PLA_2,time 3,PLA_3, time 4,PLA_4,time 5 ,PCL_1, time 6,PCL_2,time 7,PCL_3, time 8,PCL_4,time 9 ,PBA_1, time 10,PBA_2,time 11,PBA_3, time 12,PBA_4,time 13 ,Borosilicate_1, time 14,Borosilicate_2,time 15,Cellulose_1, time 16,Cellulose_2
0, 179473.0, 0, 243074.0, 0, 1152076.0, 0, 402540.2, 0, 427481.9, 0, 308541.6, 0, 201061.2, 0, 368873.3, 0, 277211.2, 0, 330873.0, 0, 266941.9, 0, 373759.9, 0, 276606.2, 0, 358035.9, 0, 411915.5, 0, 266430.0
2, 179397.1, 2, 243049.2, 2, 1152037.0, 2, 402637.1, 2, 427486.8, 2, 308595.0, 2, 200987.0, 2, 368856.5, 2, 277092.9, 2, 330977.2, 2, 266834.2, 2, 373755.9, 2, 276629.9, 2, 357915.2, 2, 412116.0, 2, 266485.3
4, 179439.8, 4, 243122.1, 4, 1152052.0, 4, 402766.0, 4, 427500.4, 4, 308604.0, 4, 200948.7, 4, 368938.0, 4, 277046.0, 4, 331070.9, 4, 266697.3, 4, 373753.3, 4, 276710.3, 4, 357845.2, 4, 412306.7, 4, 266533.9
6, 179499.3, 6, 243203.6, 6, 1152087.0, 6, 402783.4, 6, 427463.0, 6, 308565.8, 6, 200918.8, 6, 369016.5, 6, 277023.9, 6, 331090.4, 6, 266582.2, 6, 373706.5, 6, 276718.0, 6, 357755.5, 6, 412374.6, 6, 266531.9
8, 179499.9, 8, 243218.8, 8, 1152054.0, 8, 402798.4, 8, 427439.7, 8, 308474.3, 8, 200891.6, 8, 369103.4, 8, 277088.9, 8, 331059.0, 8, 266591.2, 8, 373668.7, 8, 276707.2, 8, 357723.5, 8, 412316.0, 8, 266551.5
10, 179505.2, 10, 243219.2, 10, 1152045.0, 10, 402675.5, 10, 427478.2, 10, 308477.4, 10, 200868.7, 10, 369041.6, 10, 277030.4, 10, 330952.3, 10, 266553.4, 10, 373649.5, 10, 276670.3, 10, 357671.6, 10, 412213.1, 10, 266545.5
12, 179491.4, 12, 243198.4, 12, 1152045.0, 12, 402630.2, 12, 427500.8, 12, 308365.8, 12, 200893.4, 12, 369016.6, 12, 277031.5, 12, 330887.7, 12, 266564.1, 12, 373633.0, 12, 276656.5, 12, 357722.1, 12, 412077.5, 12, 266520.5
14, 179424.1, 14, 243128.5, 14, 1151987.0, 14, 402530.1, 14, 427439.5, 14, 308376.6, 14, 200858.8, 14, 368953.0, 14, 277075.0, 14, 330770.5, 14, 266573.0, 14, 373604.8, 14, 276579.2, 14, 357678.8, 14, 411969.3, 14, 266490.5
16, 179363.3, 16, 243052.1, 16, 1151964.0, 16, 402458.1, 16, 427394.6, 16, 308293.1, 16, 200863.9, 16, 368889.8, 16, 277058.4, 16, 330694.0, 16, 266582.9, 16, 373621.1, 16, 276485.4, 16, 357711.3, 16, 411887.2, 16, 266470.7
18, 179373.1, 18, 243050.0, 18, 1151994.0, 18, 402430.4, 18, 427429.1, 18, 308271.6, 18, 200877.5, 18, 368834.3, 18, 277060.8, 18, 330709.6, 18, 266662.6, 18, 373609.3, 18, 276496.7, 18, 357763.3, 18, 411803.4, 18, 266470.4
