time 1,PLA_1, time 2,PLA_2,time 3,PLA_3, time 4,PLA_4,time 5 ,PCL_1, time 6,PCL_2,time 7,PCL_3, time 8,PCL_4,time 9 ,PBS_1, time 10,PBS_2,time 11,PBS_3, time 12,PBS_4,time 13 ,Borosilicate_1, time 14,Borosilicate_2,time 15,Borosilicate_3, time 16,Borosilicate_4
0, 174053.5, 0, 238484.5, 0, 1144688.0, 0, 397683.3, 0, 422070.9, 0, 303651.0, 0, 196586.4, 0, 365124.6, 0, 271042.9, 0, 326329.0, 0, 260918.9, 0, 369677.6, 0, 270487.7, 0, 352393.4, 0, 404723.5, 0, 260246.5
2, 174039.1, 2, 238568.7, 2, 1144770.0, 2, 397751.1, 2, 422136.6, 2, 303681.4, 2, 196582.9, 2, 365195.5, 2, 270990.2, 2, 326426.2, 2, 260745.8, 2, 369705.2, 2, 270572.5, 2, 352348.5, 2, 405060.7, 2, 260231.6
4, 174088.0, 4, 238638.9, 4, 1144873.0, 4, 397816.8, 4, 422146.4, 4, 303674.4, 4, 196603.2, 4, 365275.9, 4, 270928.5, 4, 326463.7, 4, 260569.3, 4, 369652.7, 4, 270665.8, 4, 352315.4, 4, 405273.2, 4, 260213.8
6, 174116.1, 6, 238708.4, 6, 1144939.0, 6, 397808.1, 6, 422175.3, 6, 303638.9, 6, 196590.9, 6, 365347.1, 6, 270866.4, 6, 326459.1, 6, 260430.0, 6, 369601.7, 6, 270739.2, 6, 352254.1, 6, 405409.1, 6, 260207.0
8, 174119.5, 8, 238734.6, 8, 1144974.0, 8, 397789.2, 8, 422201.2, 8, 303580.8, 8, 196599.0, 8, 365345.4, 8, 270845.2, 8, 326397.5, 8, 260341.0, 8, 369595.7, 8, 270743.9, 8, 352255.6, 8, 405408.0, 8, 260163.6
10, 174113.6, 10, 238720.6, 10, 1144966.0, 10, 397715.3, 10, 422212.9, 10, 303528.5, 10, 196600.8, 10, 365356.6, 10, 270849.6, 10, 326322.0, 10, 260291.7, 10, 369558.1, 10, 270706.2, 10, 352245.8, 10, 405361.1, 10, 260109.9
12, 174113.1, 12, 238704.3, 12, 1144929.0, 12, 397674.5, 12, 422230.9, 12, 303484.2, 12, 196631.6, 12, 365400.9, 12, 270952.1, 12, 326157.3, 12, 260298.1, 12, 369498.8, 12, 270655.3, 12, 352246.1, 12, 405267.1, 12, 260111.7
14, 174028.6, 14, 238620.4, 14, 1144882.0, 14, 397565.7, 14, 422232.1, 14, 303443.9, 14, 196609.6, 14, 365336.6, 14, 270926.0, 14, 326058.9, 14, 260294.8, 14, 369452.7, 14, 270611.0, 14, 352284.4, 14, 405130.9, 14, 260050.2
16, 173972.8, 16, 238528.7, 16, 1144870.0, 16, 397448.3, 16, 422224.0, 16, 303361.9, 16, 196605.7, 16, 365268.2, 16, 270947.8, 16, 325920.4, 16, 260396.4, 16, 369444.5, 16, 270527.9, 16, 352315.3, 16, 404944.8, 16, 259977.7
18, 173900.9, 18, 238463.0, 18, 1144868.0, 18, 397452.1, 18, 422227.9, 18, 303349.0, 18, 196581.1, 18, 365189.1, 18, 270945.8, 18, 325895.2, 18, 260488.8, 18, 369380.6, 18, 270526.3, 18, 352340.9, 18, 404899.7, 18, 260025.3
20, 173816.0, 20, 238399.8, 20, 1144757.0, 20, 397307.4, 20, 422159.9, 20, 303396.5, 20, 196549.6, 20, 365106.5, 20, 271004.5, 20, 325800.7, 20, 260461.5, 20, 369408.0, 20, 270428.0, 20, 352343.1, 20, 404794.5, 20, 259992.2
22, 173773.9, 22, 238352.1, 22, 1144754.0, 22, 397305.6, 22, 422186.6, 22, 303431.4, 22, 196576.5, 22, 365076.8, 22, 270980.0, 22, 325772.7, 22, 260515.6, 22, 369390.9, 22, 270444.3, 22, 352294.9, 22, 404719.4, 22, 259949.6
24, 173834.3, 24, 238388.9, 24, 1144783.0, 24, 397303.1, 24, 422190.2, 24, 303399.9, 24, 196590.3, 24, 365097.3, 24, 270956.0, 24, 325772.2, 24, 260571.0, 24, 369405.2, 24, 270400.0, 24, 352408.9, 24, 404689.3, 24, 259979.2
26, 173764.4, 26, 238276.9, 26, 1144782.0, 26, 397306.6, 26, 422142.6, 26, 303452.5, 26, 196572.1, 26, 365032.4, 26, 270940.4, 26, 325820.5, 26, 260496.8, 26, 369423.4, 26, 270438.6, 26, 352346.0, 26, 404659.9, 26, 259981.9
28, 173728.1, 28, 238309.7, 28, 1144708.0, 28, 397346.3, 28, 422104.8, 28, 303465.8, 28, 196514.9, 28, 364992.6, 28, 270935.8, 28, 325784.1, 28, 260501.8, 28, 369407.3, 28, 270394.9, 28, 352365.9, 28, 404746.6, 28, 260002.1
30, 173734.6, 30, 238307.5, 30, 1144722.0, 30, 397305.9, 30, 422130.7, 30, 303440.6, 30, 196505.7, 30, 365049.2, 30, 270935.7, 30, 325744.7, 30, 260510.6, 30, 369382.1, 30, 270389.9, 30, 352348.3, 30, 404715.2, 30, 260009.8
32, 173739.1, 32, 238305.1, 32, 1144763.0, 32, 397287.1, 32, 422119.1, 32, 303367.2, 32, 196532.0, 32, 364996.5, 32, 270953.8, 32, 325741.6, 32, 260598.8, 32, 369370.7, 32, 270354.2, 32, 352361.4, 32, 404606.9, 32, 259987.3
34, 173656.0, 34, 238268.4, 34, 1144743.0, 34, 397238.7, 34, 422060.7, 34, 303488.4, 34, 196469.9, 34, 364970.8, 34, 270947.7, 34, 325716.0, 34, 260548.1, 34, 369392.1, 34, 270332.1, 34, 352349.3, 34, 404599.7, 34, 259909.6
36, 173689.1, 36, 238231.6, 36, 1144667.0, 36, 397178.3, 36, 422102.8, 36, 303431.8, 36, 196489.3, 36, 364945.5, 36, 270970.3, 36, 325684.5, 36, 260551.2, 36, 369377.9, 36, 270337.8, 36, 352397.0, 36, 404610.8, 36, 259964.5
38, 173634.9, 38, 238246.4, 38, 1144657.0, 38, 397185.8, 38, 422076.2, 38, 303417.6, 38, 196491.2, 38, 364955.4, 38, 270920.7, 38, 325632.0, 38, 260588.8, 38, 369370.1, 38, 270329.3, 38, 352333.2, 38, 404521.0, 38, 259943.5
40, 173631.9, 40, 238192.1, 40, 1144681.0, 40, 397210.1, 40, 422051.3, 40, 303416.7, 40, 196438.1, 40, 364953.1, 40, 270915.9, 40, 325607.0, 40, 260591.5, 40, 369361.9, 40, 270319.2, 40, 352333.9, 40, 404546.3, 40, 259930.1
42, 173645.0, 42, 238192.5, 42, 1144695.0, 42, 397147.5, 42, 422027.1, 42, 303412.4, 42, 196477.1, 42, 364916.2, 42, 270958.8, 42, 325624.5, 42, 260613.8, 42, 369318.5, 42, 270256.4, 42, 352352.8, 42, 404534.6, 42, 259895.0
44, 173613.3, 44, 238139.9, 44, 1144655.0, 44, 397104.7, 44, 422022.2, 44, 303432.1, 44, 196465.5, 44, 364913.2, 44, 270881.0, 44, 325618.0, 44, 260556.2, 44, 369376.4, 44, 270251.4, 44, 352293.6, 44, 404474.8, 44, 259924.2
46, 173640.1, 46, 238119.3, 46, 1144667.0, 46, 397139.1, 46, 422061.0, 46, 303423.3, 46, 196475.3, 46, 364856.9, 46, 270890.6, 46, 325646.0, 46, 260585.2, 46, 369333.9, 46, 270259.6, 46, 352317.4, 46, 404501.4, 46, 259973.5
48, 173532.0, 48, 238163.8, 48, 1144697.0, 48, 397099.8, 48, 422004.5, 48, 303440.6, 48, 196433.6, 48, 364862.8, 48, 270855.4, 48, 325622.7, 48, 260566.1, 48, 369355.4, 48, 270233.0, 48, 352289.6, 48, 404504.4, 48, 259900.8
50, 173594.5, 50, 238103.5, 50, 1144686.0, 50, 397150.5, 50, 421977.6, 50, 303464.6, 50, 196473.4, 50, 364886.2, 50, 270882.4, 50, 325544.2, 50, 260531.1, 50, 369327.2, 50, 270221.0, 50, 352272.6, 50, 404503.0, 50, 259887.6
52, 173569.3, 52, 238114.6, 52, 1144649.0, 52, 397143.7, 52, 421965.4, 52, 303449.7, 52, 196450.4, 52, 364867.5, 52, 270834.0, 52, 325601.0, 52, 260565.1, 52, 369350.8, 52, 270205.2, 52, 352338.6, 52, 404555.8, 52, 259931.4
