time 1,Cellulose_1, time 2,Cellulose_2,time 3,Cellulose_3, time 4,Cellulose_4,time 5 ,Cellulose_5, time 6,Cellulose_6,time 7,Cellulose_7, time 8,Cellulose_8,time 9 ,Cellulose_9, time 10,Cellulose_10,time 11,Cellulose_11, time 12,Cellulose_12,time 13 ,Cellulose_13, time 14,Cellulose_14,time 15,Cellulose_15, time 16,Cellulose_16
0, 171177.9, 0, 235612.1, 0, 1144800.0, 0, 396098.6, 0, 419164.8, 0, 298427.3, 0, 193757.4, 0, 361847.2, 0, 269216.6, 0, 323525.0, 0, 258713.6, 0, 367223.2, 0, 269557.4, 0, 350792.5, 0, 403185.0, 0, 258848.5
2, 171162.1, 2, 235649.0, 2, 1144801.0, 2, 396078.3, 2, 419144.6, 2, 298403.1, 2, 193753.8, 2, 361868.9, 2, 269219.6, 2, 323497.9, 2, 258676.3, 2, 367200.6, 2, 269554.6, 2, 350757.1, 2, 403175.8, 2, 258845.7
4, 171190.1, 4, 235653.9, 4, 1144799.0, 4, 396040.6, 4, 419137.3, 4, 298337.4, 4, 193761.9, 4, 361863.6, 4, 269257.5, 4, 323468.7, 4, 258703.3, 4, 367192.2, 4, 269545.0, 4, 350759.2, 4, 403106.5, 4, 258840.9
6, 171188.2, 6, 235650.7, 6, 1144826.0, 6, 395984.2, 6, 419160.0, 6, 298326.2, 6, 193769.8, 6, 361849.6, 6, 269247.7, 6, 323504.6, 6, 258747.2, 6, 367224.9, 6, 269565.0, 6, 350788.3, 6, 403078.2, 6, 258829.3
8, 171148.1, 8, 235625.0, 8, 1144826.0, 8, 395996.8, 8, 419161.2, 8, 298364.4, 8, 193785.1, 8, 361821.8, 8, 269203.9, 8, 323486.3, 8, 258731.3, 8, 367219.0, 8, 269553.8, 8, 350759.9, 8, 403082.4, 8, 258827.7
10, 171178.6, 10, 235680.7, 10, 1144802.0, 10, 396047.9, 10, 419157.9, 10, 298364.9, 10, 193754.4, 10, 361839.6, 10, 269173.4, 10, 323460.8, 10, 258695.5, 10, 367249.7, 10, 269548.5, 10, 350761.6, 10, 403114.6, 10, 258894.1
12, 171147.0, 12, 235624.4, 12, 1144816.0, 12, 396016.5, 12, 419147.4, 12, 298341.6, 12, 193763.7, 12, 361839.4, 12, 269248.3, 12, 323443.4, 12, 258704.5, 12, 367176.4, 12, 269479.8, 12, 350724.8, 12, 403097.0, 12, 258826.2
14, 171163.9, 14, 235662.1, 14, 1144808.0, 14, 395963.2, 14, 419159.0, 14, 298319.4, 14, 193745.5, 14, 361831.5, 14, 269285.1, 14, 323420.1, 14, 258714.5, 14, 367199.5, 14, 269548.0, 14, 350742.5, 14, 403023.5, 14, 258842.2
16, 171111.4, 16, 235618.9, 16, 1144805.0, 16, 395950.4, 16, 419158.5, 16, 298328.9, 16, 193737.4, 16, 361796.5, 16, 269282.7, 16, 323357.8, 16, 258732.7, 16, 367191.8, 16, 269530.1, 16, 350771.6, 16, 402974.0, 16, 258826.3
18, 171089.8, 18, 235604.7, 18, 1144762.0, 18, 395900.2, 18, 419105.1, 18, 298343.9, 18, 193763.5, 18, 361825.1, 18, 269304.5, 18, 323318.8, 18, 258769.6, 18, 367174.9, 18, 269491.4, 18, 350793.8, 18, 402920.4, 18, 258856.7
20, 171106.8, 20, 235620.7, 20, 1144761.0, 20, 395878.0, 20, 419122.1, 20, 298306.4, 20, 193775.6, 20, 361773.6, 20, 269277.4, 20, 323377.7, 20, 258837.4, 20, 367227.5, 20, 269498.2, 20, 350847.7, 20, 402918.7, 20, 258839.3
22, 171046.7, 22, 235564.0, 22, 1144708.0, 22, 395894.7, 22, 419083.4, 22, 298336.0, 22, 193744.9, 22, 361725.9, 22, 269269.9, 22, 323326.2, 22, 258779.7, 22, 367184.1, 22, 269477.5, 22, 350764.5, 22, 402957.4, 22, 258784.9
24, 171031.6, 24, 235519.1, 24, 1144729.0, 24, 395908.5, 24, 419060.1, 24, 298333.0, 24, 193767.8, 24, 361778.8, 24, 269245.8, 24, 323337.1, 24, 258800.1, 24, 367192.9, 24, 269446.9, 24, 350813.7, 24, 402917.7, 24, 258789.8
26, 171057.9, 26, 235597.4, 26, 1144726.0, 26, 395941.8, 26, 419155.1, 26, 298334.6, 26, 193765.4, 26, 361747.0, 26, 269267.3, 26, 323345.7, 26, 258787.4, 26, 367221.5, 26, 269474.4, 26, 350841.6, 26, 402932.5, 26, 258839.9
28, 171024.8, 28, 235578.7, 28, 1144719.0, 28, 395897.7, 28, 419086.1, 28, 298338.0, 28, 193758.8, 28, 361799.0, 28, 269275.3, 28, 323323.4, 28, 258851.2, 28, 367233.3, 28, 269439.3, 28, 350858.2, 28, 402849.4, 28, 258818.4
30, 170997.4, 30, 235587.2, 30, 1144730.0, 30, 395906.6, 30, 419092.9, 30, 298359.6, 30, 193760.9, 30, 361753.8, 30, 269274.2, 30, 323312.4, 30, 258892.5, 30, 367222.4, 30, 269495.0, 30, 350823.5, 30, 402890.0, 30, 258847.6
32, 171042.3, 32, 235489.2, 32, 1144760.0, 32, 395929.6, 32, 419048.7, 32, 298334.3, 32, 193783.2, 32, 361752.7, 32, 269253.3, 32, 323290.8, 32, 258846.4, 32, 367229.0, 32, 269429.8, 32, 350825.1, 32, 402892.6, 32, 258886.4
34, 170972.2, 34, 235536.5, 34, 1144724.0, 34, 395940.2, 34, 419101.2, 34, 298379.9, 34, 193773.9, 34, 361751.5, 34, 269243.5, 34, 323343.6, 34, 258836.4, 34, 367243.4, 34, 269427.3, 34, 350835.6, 34, 402943.6, 34, 258823.5
36, 170999.2, 36, 235574.7, 36, 1144729.0, 36, 395928.4, 36, 419072.9, 36, 298396.6, 36, 193771.8, 36, 361781.2, 36, 269238.1, 36, 323323.2, 36, 258807.5, 36, 367211.8, 36, 269481.5, 36, 350789.4, 36, 402964.9, 36, 258821.4
38, 171051.8, 38, 235574.8, 38, 1144759.0, 38, 395886.0, 38, 419090.6, 38, 298351.8, 38, 193762.3, 38, 361720.7, 38, 269241.4, 38, 323277.8, 38, 258877.1, 38, 367207.8, 38, 269460.3, 38, 350819.2, 38, 402912.9, 38, 258860.1
40, 171042.1, 40, 235520.8, 40, 1144718.0, 40, 395905.6, 40, 419058.2, 40, 298377.2, 40, 193762.1, 40, 361735.5, 40, 269228.7, 40, 323293.9, 40, 258831.8, 40, 367169.4, 40, 269443.1, 40, 350765.8, 40, 402881.3, 40, 258890.5
42, 171024.7, 42, 235573.7, 42, 1144742.0, 42, 395920.8, 42, 419064.5, 42, 298351.3, 42, 193765.6, 42, 361752.0, 42, 269323.4, 42, 323304.9, 42, 258879.2, 42, 367223.6, 42, 269451.6, 42, 350844.0, 42, 402883.1, 42, 258911.3
44, 171077.6, 44, 235519.1, 44, 1144744.0, 44, 395844.1, 44, 419034.1, 44, 298357.0, 44, 193773.9, 44, 361705.6, 44, 269295.8, 44, 323305.5, 44, 258880.9, 44, 367268.2, 44, 269419.4, 44, 350838.6, 44, 402895.9, 44, 258881.7
46, 171003.4, 46, 235498.7, 46, 1144722.0, 46, 395945.2, 46, 419015.8, 46, 298388.9, 46, 193772.3, 46, 361706.2, 46, 269241.1, 46, 323266.8, 46, 258831.7, 46, 367207.5, 46, 269459.2, 46, 350761.8, 46, 402931.9, 46, 258849.6
48, 171006.4, 48, 235558.7, 48, 1144721.0, 48, 395905.5, 48, 418987.5, 48, 298381.4, 48, 193766.8, 48, 361738.3, 48, 269252.6, 48, 323330.1, 48, 258856.2, 48, 367273.8, 48, 269437.7, 48, 350795.8, 48, 402938.3, 48, 258845.9
50, 171056.8, 50, 235579.8, 50, 1144786.0, 50, 395948.5, 50, 419032.3, 50, 298342.7, 50, 193763.5, 50, 361727.2, 50, 269303.6, 50, 323272.7, 50, 258830.0, 50, 367222.6, 50, 269427.1, 50, 350816.7, 50, 402902.2, 50, 258852.6
52, 170982.5, 52, 235517.3, 52, 1144770.0, 52, 395828.4, 52, 419037.3, 52, 298356.1, 52, 193754.8, 52, 361678.9, 52, 269284.8, 52, 323270.0, 52, 258796.9, 52, 367227.5, 52, 269460.5, 52, 350794.1, 52, 402840.3, 52, 258853.6
54, 170959.3, 54, 235561.4, 54, 1144778.0, 54, 395893.4, 54, 419056.3, 54, 298355.8, 54, 193770.0, 54, 361716.7, 54, 269296.6, 54, 323269.4, 54, 258882.3, 54, 367245.6, 54, 269487.6, 54, 350846.1, 54, 402935.3, 54, 258830.7
56, 170988.6, 56, 235528.7, 56, 1144761.0, 56, 395885.1, 56, 419058.6, 56, 298337.5, 56, 193804.5, 56, 361677.1, 56, 269282.4, 56, 323264.8, 56, 258866.5, 56, 367265.3, 56, 269395.1, 56, 350814.6, 56, 402915.3, 56, 258837.1
58, 170928.2, 58, 235567.1, 58, 1144676.0, 58, 395855.7, 58, 419034.2, 58, 298385.0, 58, 193752.2, 58, 361656.5, 58, 269302.7, 58, 323237.7, 58, 258833.6, 58, 367260.2, 58, 269389.4, 58, 350836.2, 58, 402885.9, 58, 258796.0
60, 170952.5, 60, 235589.3, 60, 1144766.0, 60, 395924.8, 60, 419006.9, 60, 298370.8, 60, 193776.4, 60, 361711.6, 60, 269296.2, 60, 323266.0, 60, 258833.8, 60, 367199.8, 60, 269400.6, 60, 350792.6, 60, 402913.9, 60, 258768.9
62, 170985.5, 62, 235580.4, 62, 1144765.0, 62, 395906.9, 62, 419011.0, 62, 298364.9, 62, 193789.3, 62, 361712.1, 62, 269318.4, 62, 323274.7, 62, 258858.9, 62, 367220.2, 62, 269399.4, 62, 350817.2, 62, 402915.4, 62, 258816.6
64, 170927.3, 64, 235556.3, 64, 1144717.0, 64, 395902.3, 64, 419016.4, 64, 298363.0, 64, 193765.6, 64, 361702.8, 64, 269277.5, 64, 323265.0, 64, 258884.2, 64, 367193.6, 64, 269396.6, 64, 350796.8, 64, 402843.0, 64, 258813.3
66, 170996.7, 66, 235593.4, 66, 1144717.0, 66, 395829.3, 66, 418999.6, 66, 298380.2, 66, 193800.8, 66, 361736.8, 66, 269246.3, 66, 323332.6, 66, 258849.4, 66, 367269.9, 66, 269422.4, 66, 350847.9, 66, 402863.8, 66, 258780.2
68, 170932.1, 68, 235580.9, 68, 1144745.0, 68, 395914.5, 68, 418984.6, 68, 298377.6, 68, 193766.5, 68, 361653.8, 68, 269248.4, 68, 323222.6, 68, 258920.7, 68, 367227.2, 68, 269381.0, 68, 350863.2, 68, 402909.9, 68, 258760.7
70, 170957.2, 70, 235585.6, 70, 1144788.0, 70, 395878.0, 70, 419046.4, 70, 298366.5, 70, 193780.4, 70, 361716.2, 70, 269215.2, 70, 323278.0, 70, 258902.5, 70, 367162.6, 70, 269412.2, 70, 350806.7, 70, 402910.7, 70, 258812.2
72, 171030.9, 72, 235531.7, 72, 1144735.0, 72, 395837.2, 72, 419017.4, 72, 298380.9, 72, 193783.5, 72, 361703.9, 72, 269241.8, 72, 323247.0, 72, 258808.6, 72, 367223.0, 72, 269444.4, 72, 350795.5, 72, 402903.4, 72, 258831.3
74, 170944.0, 74, 235568.7, 74, 1144740.0, 74, 395921.6, 74, 418964.1, 74, 298358.3, 74, 193780.9, 74, 361676.0, 74, 269270.2, 74, 323208.9, 74, 258886.7, 74, 367234.1, 74, 269367.8, 74, 350813.8, 74, 402845.0, 74, 258810.9
76, 170966.2, 76, 235574.9, 76, 1144783.0, 76, 395881.9, 76, 418960.2, 76, 298409.1, 76, 193781.8, 76, 361732.7, 76, 269266.5, 76, 323245.7, 76, 258901.4, 76, 367215.5, 76, 269420.6, 76, 350846.1, 76, 402885.6, 76, 258843.7
78, 170912.0, 78, 235613.7, 78, 1144723.0, 78, 395833.8, 78, 418941.1, 78, 298374.2, 78, 193799.1, 78, 361684.4, 78, 269290.0, 78, 323238.4, 78, 258866.4, 78, 367216.5, 78, 269347.1, 78, 350806.9, 78, 402870.5, 78, 258813.4
80, 170938.0, 80, 235562.5, 80, 1144764.0, 80, 395885.7, 80, 418972.5, 80, 298368.4, 80, 193786.2, 80, 361680.7, 80, 269262.8, 80, 323262.0, 80, 258874.7, 80, 367209.4, 80, 269329.5, 80, 350813.8, 80, 402873.2, 80, 258806.4
