time 1,Aluminum_1, time 2,Aluminum_2,time 3,Aluminum_3, time 4,Aluminum_4,time 5 ,PET_1, time 6,PET_2,time 7,PET_3, time 8,PET_4,time 9 ,Nylon_1, time 10,Nylon_2,time 11,Nylon_3, time 12,Nylon_4,time 13 ,None_1, time 14,None_2,time 15,None_3, time 16,None_4
0, 177212.8, 0, 242013.7, 0, 1149488.0, 0, 400814.1, 0, 426314.0, 0, 307945.1, 0, 200475.6, 0, 368871.3, 0, 276301.1, 0, 330083.9, 0, 266092.7, 0, 373438.5, 0, 274983.5, 0, 356723.7, 0, 410006.8, 0, 264226.4
2, 177235.2, 2, 241974.8, 2, 1149439.0, 2, 400738.5, 2, 426281.1, 2, 307895.0, 2, 200413.2, 2, 368797.8, 2, 276264.0, 2, 330108.2, 2, 265971.7, 2, 373375.1, 2, 275020.4, 2, 356622.2, 2, 410113.6, 2, 264206.8
4, 177204.0, 4, 241977.5, 4, 1149454.0, 4, 400710.5, 4, 426302.1, 4, 307872.4, 4, 200383.7, 4, 368811.3, 4, 276252.3, 4, 330122.7, 4, 265890.9, 4, 373373.5, 4, 275033.4, 4, 356541.8, 4, 410208.7, 4, 264173.2
6, 177230.4, 6, 241952.5, 6, 1149452.0, 6, 400679.4, 6, 426287.4, 6, 307837.8, 6, 200384.8, 6, 368820.8, 6, 276229.5, 6, 330115.5, 6, 265818.4, 6, 373366.9, 6, 275040.5, 6, 356447.5, 6, 410254.4, 6, 264163.9
8, 177210.2, 8, 241924.6, 8, 1149439.0, 8, 400677.3, 8, 426275.2, 8, 307795.2, 8, 200336.2, 8, 368837.2, 8, 276283.0, 8, 330082.0, 8, 265787.1, 8, 373295.8, 8, 275009.3, 8, 356398.4, 8, 410277.7, 8, 264152.6
10, 177247.4, 10, 241966.6, 10, 1149461.0, 10, 400640.2, 10, 426304.1, 10, 307763.3, 10, 200397.5, 10, 368803.5, 10, 276283.6, 10, 330037.9, 10, 265769.0, 10, 373339.1, 10, 275038.3, 10, 356359.9, 10, 410223.2, 10, 264100.6
12, 177218.7, 12, 241856.8, 12, 1149417.0, 12, 400575.4, 12, 426306.2, 12, 307721.9, 12, 200361.1, 12, 368775.9, 12, 276235.2, 12, 330007.3, 12, 265818.3, 12, 373307.6, 12, 274987.3, 12, 356364.1, 12, 410194.0, 12, 264053.7
14, 177170.8, 14, 241889.6, 14, 1149413.0, 14, 400568.7, 14, 426236.9, 14, 307794.5, 14, 200370.0, 14, 368794.3, 14, 276279.6, 14, 330003.5, 14, 265758.5, 14, 373274.2, 14, 274984.7, 14, 356364.5, 14, 410163.5, 14, 264040.9
16, 177162.0, 16, 241862.7, 16, 1149469.0, 16, 400549.0, 16, 426265.2, 16, 307694.5, 16, 200381.8, 16, 368751.5, 16, 276256.4, 16, 330000.0, 16, 265737.6, 16, 373252.3, 16, 274957.2, 16, 356329.9, 16, 410164.4, 16, 264060.7
18, 177200.4, 18, 241820.2, 18, 1149402.0, 18, 400521.0, 18, 426278.8, 18, 307779.5, 18, 200371.4, 18, 368780.1, 18, 276294.1, 18, 329972.9, 18, 265761.9, 18, 373186.6, 18, 274887.0, 18, 356292.9, 18, 410138.5, 18, 263955.5
