Scale,85,90,92,93,95,100
Scale 1,149674,165911,172145.7,175466,181816,198071.7
Scale 2,214342,230236.7,236542.3,239768,246132,261911.7
Scale 3,1122246,1138519,1144887,1148247,1154668,1170793
Scale 4,375258.3,390387.3,396486.3,399471.7,405624,420862.7
Scale 5,393130,408794.4,415044.6,418057.6,424418,440239.7
Scale 6,276424.3,292027,298283.3,301396.3,307664.3,323276
Scale 7,165284,179902.7,185822,188828.3,194691,209309
Scale 8,337337.4,352728.7,358759.4,361717,367928.7,383163.6
Scale 9,249221,265079.4,271465,274667.3,281049,297021.7
Scale 10,299361,315093.7,321305.3,324422.6,330797,346612.7
Scale 11,247513.3,263722,270317.3,273598.6,280060.3,296276.4
Scale 12,352693.3,366964.7,372646.3,375584.7,381196.6,395432.3
Scale 13,251822,267204,273267.7,276344.7,282472.3,297957.7
Scale 14,337104.7,352012.3,358015.3,360855.7,367021,382251.3
Scale 15,388884.3,404484.3,410776,413874.7,420109.7,435698.7
Scale 16,237745.7,252669.3,258660.3,261700,267778.7,282866.4
